mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,std dev,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,skewness,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,kurtosis,class-ID
-7.81E-06,-1.81E-05,4.68E-05,-3.48E-06,1.36E-05,-2.90E-05,0.024312,0.02433,0.024283,-0.03702,-0.037033,-0.037004,0.0012193,0.00067456,0.0013227,0.0012461,0.000686,0.0012557,1.5781,1.5781,1.5779,1.5759,1.5759,1.5757,0.0034816,-0.49903,0.37012,0.0009036,0.95816,0.033409,0.0025697,0.0025943,0.002611,-0.0013914,-0.0013995,-0.001363,-0.74603,4.8924,5.9187,-0.80703,9.8923,8.1667,-1.5005,-1.5005,-1.5005,-1.4974,-1.4975,-1.4975,1
-8.31E-07,0.00014884,-0.00013916,9.88E-06,-4.37E-05,-0.00061296,0.019705,0.019556,0.019695,-0.023069,-0.023025,-0.022412,0.0030014,0.0023366,0.0040378,0.00288,0.0015801,0.0062659,2.2236,2.2233,2.2226,2.2282,2.2282,2.2272,-0.031113,3.0865,-0.59926,-0.020153,-0.077893,-1.7818,-0.00042307,-0.00064537,-0.00039496,0.012898,0.012944,0.012527,-0.52248,20.016,4.1968,-0.5021,0.35153,9.3077,-1.507,-1.5072,-1.5069,-1.4987,-1.4987,-1.4978,1
1.81E-06,1.04E-05,0.00043533,-1.06E-05,5.31E-05,-0.00032963,0.029228,0.029218,0.028783,-0.032121,-0.032174,-0.031844,0.0025137,0.0014507,0.0061679,0.0025949,0.0013735,0.0055608,1.7788,1.7787,1.7777,1.7746,1.7745,1.7737,-0.0036039,0.014475,0.60979,-0.052191,0.10654,-0.63847,0.0074029,0.0074135,0.0072218,0.010385,0.0103,0.010697,-0.67104,0.91157,5.4393,-0.55453,1.0965,5.9759,-1.5064,-1.5065,-1.5059,-1.5002,-1.5002,-1.4998,1
-1.50E-06,-4.30E-06,-7.70E-06,-1.80E-06,3.53E-06,-1.51E-05,0.027088,0.027093,0.0271,-0.036437,-0.03644,-0.036425,0.00079558,0.00026555,0.00061094,0.00077834,0.00025292,0.00062009,1.3323,1.3323,1.3323,1.3354,1.3354,1.3353,0.0095867,-0.18231,-0.21476,0.0018495,1.0923,-0.5668,0.003878,0.0038792,0.0038897,-0.0081852,-0.0081915,-0.0081172,-0.60099,16.344,5.2557,-0.54977,13.129,9.2146,-1.4972,-1.4972,-1.4972,-1.4978,-1.4978,-1.4978,1
-3.17E-06,2.88E-05,0.00016146,4.34E-06,-6.57E-07,-6.35E-05,0.024152,0.024124,0.023962,-0.042321,-0.042321,-0.042257,0.002182,0.0011649,0.0034079,0.0022292,0.001218,0.0034597,1.2974,1.2973,1.2965,1.3036,1.3034,1.3028,-0.012066,0.080565,-0.080966,-0.015315,-0.054421,0.050685,0.0058491,0.0058017,0.0055659,-0.0060489,-0.0059898,-0.0057926,-0.73564,0.69156,3.1648,-0.67602,0.62634,3.6009,-1.5101,-1.5102,-1.5103,-1.4985,-1.4986,-1.4987,1
-3.49E-06,2.24E-05,-5.82E-05,-3.86E-06,2.52E-05,-4.88E-05,0.02319,0.023168,0.023226,-0.044473,-0.044498,-0.044449,0.0013945,0.0010636,0.0019473,0.0013352,0.00081352,0.0014788,1.9999,1.9998,1.9997,1.9957,1.9957,1.9956,-0.004669,0.89012,-0.075067,0.0054406,1.6677,-0.48468,0.0010866,0.0010441,0.0012487,-0.00043836,-0.00046614,-0.00040423,-0.85355,14.683,6.0542,-0.82379,13.684,7.3357,-1.5003,-1.5003,-1.5002,-1.5006,-1.5006,-1.5006,1
-4.12E-06,3.80E-07,1.55E-05,8.75E-07,-2.47E-06,-9.90E-06,0.02458,0.024579,0.024564,-0.029294,-0.029292,-0.029282,0.00080316,0.00029938,0.00050764,0.00079622,0.00028628,0.00068079,1.749,1.749,1.749,1.7447,1.7447,1.7447,0.013378,0.12121,0.24093,-0.004619,-0.19026,-0.39116,-0.00078713,-0.00078809,-0.00081228,-0.001917,-0.0019155,-0.0018873,-0.48641,22.005,5.4527,-0.49842,8.3284,7.1202,-1.4974,-1.4974,-1.4974,-1.4997,-1.4997,-1.4997,1
-3.78E-06,3.40E-07,4.34E-06,-4.62E-06,3.08E-06,-3.55E-07,0.025616,0.025616,0.025611,-0.039426,-0.039429,-0.039429,0.00078108,0.0002556,0.00047997,0.00077437,0.00025115,0.00049207,1.3408,1.3408,1.3408,1.3394,1.3394,1.3394,0.0067511,0.079977,-0.067703,0.010282,0.092049,-0.11776,-0.0015389,-0.0015346,-0.0015434,-0.0017347,-0.0017353,-0.0017193,-0.5571,3.5581,4.9103,-0.56675,7.8506,8.6166,-1.4987,-1.4986,-1.4986,-1.4972,-1.4971,-1.4971,1
-4.82E-06,-2.62E-05,0.00010787,2.40E-05,6.25E-05,0.00012883,0.017715,0.017741,0.017633,-0.036553,-0.036615,-0.036744,0.0025546,0.0013604,0.0039203,0.0025379,0.0015764,0.0025643,1.7865,1.7865,1.7857,1.7775,1.7774,1.777,-0.0028681,-0.094014,1.8998,-0.019275,0.012118,0.50153,-0.0055155,-0.0054871,-0.0056862,0.0050015,0.0049444,0.0049021,-0.64376,0.71825,17.037,-0.6216,3.4971,2.4307,-1.4998,-1.4997,-1.4998,-1.4995,-1.4995,-1.4996,1
-1.08E-05,2.41E-05,-4.52E-05,1.26E-05,5.54E-05,-3.53E-05,0.016382,0.016358,0.016403,-0.03984,-0.039896,-0.039861,0.0022441,0.0012281,0.0033777,0.0021756,0.0011417,0.0025528,1.3029,1.3027,1.3021,1.3031,1.3031,1.3026,-0.0067665,-0.0094962,-0.31568,-0.030456,0.14877,0.95701,-0.0044701,-0.004498,-0.0044014,0.010224,0.01015,0.010053,-0.69243,0.31451,3.4059,-0.69338,0.49888,8.2369,-1.502,-1.5021,-1.5017,-1.4957,-1.4957,-1.4955,1
-8.55E-06,-8.56E-06,-3.00E-05,5.19E-06,1.13E-05,-9.55E-05,0.021882,0.021891,0.021921,-0.044855,-0.044866,-0.044771,0.0013802,0.0007669,0.0029759,0.0013649,0.00073582,0.0018414,2.0038,2.0037,2.0034,2.0006,2.0006,2.0004,0.0068004,-0.1674,-0.43216,-0.006049,0.7984,-0.65901,0.0033138,0.0033235,0.0031519,0.0002737,0.00026284,0.00029246,-0.82483,7.2718,7.9153,-0.80355,8.5328,6.0551,-1.5004,-1.5004,-1.5002,-1.4989,-1.4989,-1.4988,1
7.19E-06,-2.42E-05,-9.29E-05,9.92E-06,5.49E-05,-2.51E-05,0.014872,0.014896,0.014989,-0.033978,-0.034033,-0.034008,0.0022607,0.0014132,0.0047431,0.0021672,0.0012113,0.002883,1.3008,1.3007,1.3003,1.3035,1.3035,1.3031,-0.015658,-0.23913,-1.159,-0.01444,0.26811,0.91414,-0.0047901,-0.0046775,-0.0045848,0.0093436,0.0092458,0.0096769,-0.68777,2.6009,11.446,-0.68864,1.502,7.2862,-1.5034,-1.5035,-1.503,-1.4908,-1.4908,-1.4905,1
-4.07E-06,7.90E-05,0.00024337,1.65E-06,5.42E-05,-7.71E-05,0.02183,0.021751,0.021508,-0.047194,-0.047249,-0.047171,0.0021897,0.0012974,0.0054559,0.0022337,0.0012963,0.0031393,1.2978,1.2978,1.2969,1.3042,1.304,1.3033,-0.0063126,0.50242,0.78821,-0.018291,0.15262,-0.49548,0.0095608,0.0094437,0.010299,-0.0062525,-0.0062911,-0.0058337,-0.73785,2.6762,4.2513,-0.70453,1.0631,4.3605,-1.507,-1.507,-1.5063,-1.4973,-1.4974,-1.4976,1
-7.72E-06,1.61E-05,-4.24E-05,-5.41E-06,5.45E-06,-0.00013819,0.028392,0.028375,0.028418,-0.026976,-0.026982,-0.026843,0.0012246,0.00076621,0.0010302,0.00126,0.00067407,0.0025279,1.5833,1.5832,1.5831,1.5849,1.5848,1.5845,-0.005015,1.7004,-1.0763,-0.00013021,0.2512,-1.3763,0.0034285,0.003406,0.0034659,-0.0023218,-0.0023375,-0.002143,-0.75488,37.773,6.6591,-0.80519,7.9161,15.479,-1.5027,-1.5028,-1.5028,-1.4969,-1.4969,-1.4968,1
6.87E-06,7.10E-06,0.00010834,2.45E-06,1.97E-06,-7.36E-05,0.014478,0.014471,0.014363,-0.017842,-0.017844,-0.01777,0.0030129,0.0017237,0.0068016,0.0028642,0.0016751,0.0066014,2.2189,2.2189,2.2177,2.2243,2.2241,2.2234,-0.018862,0.32386,0.59896,-0.026124,-0.077728,-0.10135,-0.0036565,-0.0036604,-0.0042354,0.012935,0.012969,0.013635,-0.50416,4.3483,5.2837,-0.50199,0.79035,5.6455,-1.5049,-1.5048,-1.5044,-1.4945,-1.4945,-1.4939,1
-6.39E-06,1.88E-05,-2.26E-05,-2.42E-06,-7.71E-06,-4.85E-05,0.027067,0.027048,0.027071,-0.031685,-0.031677,-0.031629,0.0012585,0.00088304,0.0012693,0.0011837,0.00068574,0.0009438,1.5756,1.5755,1.5753,1.5741,1.5741,1.574,0.009867,1.129,-0.081642,0.0025216,0.01946,-0.72937,0.0051099,0.0050658,0.0049838,0.00060242,0.0006265,0.0006587,-0.76649,26.277,4.647,-0.74322,8.1882,4.7461,-1.5002,-1.5002,-1.5002,-1.4975,-1.4975,-1.4975,1
-1.32E-06,4.19E-06,1.73E-05,-6.19E-06,-3.80E-06,-7.03E-07,0.025444,0.02544,0.025423,-0.039355,-0.039351,-0.039351,0.00078857,0.00026626,0.0008414,0.00077799,0.00024949,0.00045192,1.3609,1.3609,1.3608,1.3599,1.3599,1.3599,0.0065179,0.39484,0.62212,0.012626,-0.14419,0.11036,0.0013172,0.0013139,0.0013506,-0.0043999,-0.0043894,-0.0044068,-0.54117,7.9522,14.547,-0.5318,5.0311,4.389,-1.4987,-1.4987,-1.4986,-1.4986,-1.4986,-1.4986,1
-2.21E-06,-1.58E-06,-1.44E-05,-2.75E-06,3.70E-06,1.19E-05,0.022664,0.022665,0.02268,-0.036023,-0.036027,-0.036039,0.00079251,0.00024027,0.00063745,0.0007763,0.00025117,0.00053494,1.3375,1.3375,1.3375,1.3368,1.3368,1.3367,0.001949,0.14343,0.083965,0.0038456,0.30142,0.36577,-0.00018947,-0.00018836,-0.00017815,-0.0022644,-0.0022687,-0.0022877,-0.61242,4.0584,3.7796,-0.57009,4.9105,4.0447,-1.4981,-1.4981,-1.4982,-1.4982,-1.4982,-1.4982,1
2.67E-05,3.08E-06,-4.67E-06,2.81E-06,4.95E-05,-7.30E-05,0.023717,0.023714,0.023718,-0.024319,-0.024369,-0.024296,0.0022344,0.0012086,0.0030528,0.002243,0.0011941,0.0027314,1.33,1.33,1.3295,1.3353,1.3353,1.3348,-0.02775,0.05108,-0.084442,-0.0091488,0.11568,-0.20558,0.0047488,0.0047314,0.0050281,0.0046709,0.0046459,0.0046555,-0.69209,0.8125,2.5778,-0.66792,0.57117,2.5546,-1.5072,-1.5072,-1.5069,-1.4985,-1.4985,-1.4982,1
-3.59E-06,9.14E-06,6.57E-05,-8.79E-06,1.79E-05,5.98E-05,0.031618,0.031609,0.031544,-0.032198,-0.032216,-0.032276,0.0012521,0.0006836,0.002052,0.0011733,0.00065324,0.0014135,1.58,1.58,1.5797,1.5786,1.5786,1.5785,0.0069082,-0.68345,0.26677,0.020497,0.21684,-0.22099,0.00065781,0.00065124,0.00072583,-0.0016674,-0.001687,-0.0017223,-0.76729,7.2173,9.0502,-0.73348,2.5036,7.1207,-1.4993,-1.4993,-1.4992,-1.4992,-1.4992,-1.4991,1
-3.54E-07,-6.23E-06,4.23E-06,-1.99E-06,-3.65E-06,-1.50E-05,0.027115,0.027121,0.027117,-0.034869,-0.034866,-0.034851,0.00080766,0.00029148,0.00056252,0.00079436,0.0002693,0.00051448,1.7476,1.7476,1.7476,1.7429,1.7429,1.7428,-0.0026366,-0.40262,0.91192,0.0011703,-0.35544,-0.46881,-7.50E-05,-7.08E-05,-9.06E-05,0.0020665,0.0020749,0.002104,-0.51098,12.858,9.0715,-0.48856,4.9956,5.8316,-1.4998,-1.4998,-1.4998,-1.4971,-1.497,-1.497,1
-3.92E-06,4.00E-05,-0.00015468,5.00E-06,2.45E-05,-7.61E-05,0.026805,0.026765,0.026919,-0.048743,-0.048768,-0.048692,0.0025417,0.00158,0.0040974,0.0025771,0.0013854,0.0071712,1.7819,1.7817,1.7813,1.7811,1.781,1.7798,0.00242,0.51325,0.075232,-0.031211,-0.0065718,0.0016147,-0.0021443,-0.0021736,-0.0019577,-0.0042859,-0.0043117,-0.0036803,-0.6539,4.3896,9.3892,-0.63212,1.1784,5.6869,-1.5043,-1.5045,-1.5044,-1.4994,-1.4994,-1.4996,1
1.34E-05,5.32E-05,-5.17E-06,1.64E-05,2.98E-05,-0.00049618,0.010551,0.010498,0.010503,-0.02236,-0.022389,-0.021893,0.0030218,0.0017007,0.0050541,0.0028445,0.0016705,0.0048152,2.2172,2.217,2.2162,2.2193,2.2191,2.2184,-0.020416,0.22002,-0.54967,-0.024954,0.17873,-1.9029,-0.0040554,-0.0040862,-0.0040744,0.014201,0.014207,0.014458,-0.53269,1.5584,5.5732,-0.51379,1.0614,11.084,-1.504,-1.504,-1.5042,-1.4922,-1.4922,-1.4921,1
3.79E-06,1.28E-05,0.00015154,1.03E-06,7.50E-06,-8.92E-05,0.014253,0.01424,0.014089,-0.033915,-0.033923,-0.033834,0.0022308,0.0012997,0.0028373,0.0021834,0.0012282,0.0042861,1.2941,1.2941,1.2935,1.3006,1.3005,1.2994,-0.021638,-0.084072,0.12745,-0.022758,-0.27949,-1.2478,-0.0070897,-0.0071288,-0.0067335,0.006962,0.0069863,0.0077958,-0.68599,3.4058,1.4945,-0.72185,2.1996,9.2837,-1.5067,-1.5068,-1.5066,-1.4955,-1.4955,-1.4956,1
-3.81E-06,-5.38E-05,4.40E-05,1.01E-05,4.38E-05,0.00031961,0.015269,0.015322,0.015278,-0.022057,-0.022101,-0.022421,0.0030308,0.0022179,0.0079244,0.0028574,0.0017147,0.0064581,2.2184,2.2181,2.2173,2.2238,2.2237,2.2229,-0.014218,-1.0023,0.60734,-0.010051,0.04888,1.1527,-0.0014733,-0.0013559,-0.00098379,0.013092,0.013045,0.012634,-0.51159,7.8457,7.9389,-0.51904,1.6012,11.115,-1.5048,-1.5049,-1.5048,-1.4952,-1.4952,-1.4951,1
-9.31E-06,6.25E-05,-0.00015132,1.33E-06,0.0001016,6.69E-05,0.0089737,0.0089112,0.0090625,-0.034398,-0.034499,-0.034566,0.0022251,0.001191,0.003798,0.0021522,0.0015292,0.0024607,1.2956,1.2956,1.2947,1.2977,1.2976,1.297,-0.005866,0.26222,-0.71379,-0.028476,1.4882,0.29803,0.00018753,0.00010081,-0.00020951,0.0082571,0.0080725,0.0079911,-0.65975,1.9516,7.2641,-0.67467,14.732,4.0983,-1.503,-1.503,-1.5029,-1.4923,-1.4925,-1.4926,1
-8.24E-06,0.0001303,4.10E-05,2.06E-05,1.85E-05,0.00028723,0.017546,0.017416,0.017375,-0.037899,-0.037917,-0.038205,0.0025609,0.0016756,0.0030793,0.0025731,0.0017192,0.007179,1.7858,1.7857,1.7853,1.7794,1.7793,1.7785,0.0078566,0.43331,0.64873,0.0050465,-0.34678,-0.54004,-0.0068915,-0.0070419,-0.0071425,0.0041826,0.004205,0.0039008,-0.65578,3.696,4.147,-0.61403,9.081,4.6286,-1.4982,-1.4982,-1.4983,-1.5006,-1.5007,-1.4998,1
3.79E-06,3.32E-05,9.93E-05,-4.03E-07,-3.06E-06,-6.63E-05,0.024902,0.024869,0.024769,-0.043727,-0.043724,-0.043658,0.0013535,0.0010698,0.0017866,0.0013807,0.00085008,0.0016537,2.0117,2.0116,2.0112,2.006,2.0059,2.0058,-0.015482,0.22329,1.3474,0.0056189,-0.83269,0.06966,0.002858,0.0028162,0.0027699,0.0010495,0.0010656,0.0010694,-0.81525,19.682,8.1799,-0.85141,19.647,6.8084,-1.502,-1.5021,-1.502,-1.4978,-1.4978,-1.4978,1
1.99E-07,7.10E-07,-4.64E-05,-3.83E-06,1.70E-06,-1.34E-05,0.031163,0.031163,0.031209,-0.044222,-0.044224,-0.044211,0.0007686,0.00024901,0.0006545,0.00075623,0.00023519,0.00059158,0.89831,0.89831,0.89834,0.8996,0.89961,0.89964,-0.0014397,0.14947,-1.1339,0.0019297,0.27152,-0.20624,-0.0035302,-0.0035382,-0.0034158,-0.0046019,-0.0046052,-0.0046214,-0.64107,8.8125,6.9834,-0.611,2.9325,5.6143,-1.4977,-1.4977,-1.4976,-1.4965,-1.4965,-1.4965,1
1.33E-06,1.22E-05,0.00010565,2.48E-06,-3.05E-06,6.87E-05,0.021296,0.021284,0.021178,-0.043491,-0.043488,-0.043557,0.001371,0.00074499,0.0029302,0.0013966,0.00094005,0.0020343,1.9886,1.9886,1.9881,1.985,1.985,1.9848,-0.0039007,0.07627,1.482,-0.003344,-0.5887,1.1702,0.0022702,0.0022548,0.0020894,-0.0031637,-0.0031316,-0.0033054,-0.74285,4.4565,15.266,-0.84511,15.09,11.487,-1.501,-1.501,-1.5009,-1.4979,-1.4979,-1.4978,1
2.36E-06,-7.22E-05,0.00021539,5.47E-06,6.88E-05,0.00038658,0.012398,0.01247,0.012254,-0.021516,-0.021585,-0.021972,0.0030163,0.0018901,0.0073835,0.0028477,0.0019453,0.0066381,2.2173,2.2171,2.2164,2.2175,2.2174,2.2171,-0.032317,-0.62907,-0.40179,-0.011847,0.26985,0.2666,-0.0035634,-0.0034971,-0.0029248,0.015371,0.015309,0.015995,-0.50449,3.5886,7.4081,-0.51289,3.8232,7.2596,-1.5032,-1.5033,-1.5031,-1.4912,-1.4912,-1.4911,1
1.56E-05,5.39E-05,0.00015841,1.87E-05,4.02E-05,-0.00033173,0.017148,0.017094,0.016935,-0.022269,-0.022309,-0.021978,0.0029272,0.0019646,0.0035426,0.0028874,0.0015771,0.0052178,2.223,2.2229,2.2221,2.2275,2.2274,2.227,-0.017884,0.051969,0.11703,-0.026092,0.075804,-1.9713,0.0017261,0.0017208,0.0017303,0.010878,0.010853,0.011007,-0.55068,7.4372,4.5539,-0.52375,0.85848,12.982,-1.5079,-1.5079,-1.5078,-1.4979,-1.4979,-1.4975,1
-5.29E-06,1.48E-05,-1.75E-05,-2.10E-06,9.42E-06,-0.00028577,0.021863,0.021848,0.021866,-0.043918,-0.043928,-0.043642,0.0013888,0.0011775,0.0019121,0.0013321,0.00084599,0.0035936,1.9999,1.9998,1.9996,1.9961,1.996,1.9955,0.0064545,-0.66133,-0.58841,0.019632,0.37495,-2.3859,0.0018447,0.0018368,0.0017339,-0.0022938,-0.0023005,-0.0022698,-0.8115,47.75,15.225,-0.73127,6.1808,23.475,-1.5001,-1.5002,-1.5001,-1.5004,-1.5004,-1.5002,1
-4.47E-06,4.29E-06,5.07E-06,-4.36E-06,-6.83E-06,1.17E-06,0.021755,0.021751,0.021746,-0.046331,-0.046324,-0.046325,0.00079122,0.0002322,0.00066716,0.00078489,0.00027666,0.00052598,1.3139,1.3139,1.3139,1.3109,1.3109,1.3109,0.007779,-0.05068,0.090658,0.0042321,-1.0275,0.054015,0.0010778,0.0010786,0.0010662,-0.0039145,-0.0039053,-0.0038967,-0.61253,5.6934,10.787,-0.60008,16.193,5.6889,-1.4975,-1.4975,-1.4975,-1.4972,-1.4972,-1.4972,1
-2.87E-06,1.04E-05,-5.19E-06,-3.04E-06,1.82E-05,2.32E-05,0.030907,0.030897,0.030902,-0.031263,-0.031281,-0.031305,0.00080391,0.00034594,0.00069326,0.00079256,0.00062701,0.0008185,1.7416,1.7416,1.7415,1.7383,1.7382,1.7382,0.0031463,-0.18826,1.1614,0.00039346,8.7724,1.9443,-0.00059746,-0.00060777,-0.0005913,-0.0027818,-0.0028191,-0.0028444,-0.50118,24.632,16.311,-0.50575,145.86,28.681,-1.4972,-1.4971,-1.4972,-1.4979,-1.4979,-1.4979,1
-1.58E-05,1.60E-05,6.01E-05,5.15E-06,8.58E-05,-0.00039563,0.018138,0.018122,0.018062,-0.035174,-0.035259,-0.034864,0.0022237,0.0011679,0.0028585,0.0021753,0.0012406,0.0036317,1.2944,1.2943,1.2939,1.2941,1.294,1.2933,-0.0039682,0.12577,-0.78735,-0.023467,0.28928,-1.6604,-0.0059919,-0.0060361,-0.0061662,0.0094754,0.009326,0.0092788,-0.69376,0.62415,5.1629,-0.71156,1.2221,11.31,-1.5015,-1.5016,-1.5016,-1.4929,-1.4929,-1.4925,1
-9.53E-10,2.82E-05,6.43E-05,-5.76E-07,2.39E-05,-7.80E-06,0.027308,0.02728,0.027216,-0.028495,-0.028519,-0.028511,0.001265,0.00078898,0.0020392,0.0012131,0.00074263,0.0014108,1.5848,1.5847,1.5845,1.582,1.5819,1.5818,0.0041388,0.58449,1.1021,-0.0086949,0.93203,-0.28572,0.0010247,0.00098674,0.00091323,-0.00075866,-0.00079038,-0.00084455,-0.7486,10.285,12.871,-0.74333,33.127,4.6892,-1.4994,-1.4994,-1.4993,-1.4995,-1.4995,-1.4994,1
2.94E-06,-6.88E-07,-0.00026141,1.67E-05,4.75E-05,-0.00022993,0.021316,0.021317,0.021578,-0.022208,-0.022256,-0.022026,0.0022839,0.0011926,0.0038548,0.002207,0.001088,0.0029745,1.3348,1.3347,1.3339,1.3368,1.3368,1.336,-0.02472,-0.13736,-1.7016,-0.037432,0.073857,-0.32825,-0.003131,-0.003095,-0.0024879,0.010749,0.010678,0.010886,-0.71756,0.7547,16.356,-0.6921,-0.40069,2.2104,-1.505,-1.5051,-1.5051,-1.4949,-1.495,-1.495,1
